Word	TF-IDF Score
movie	13.373655442748156
horror	10.639775707184091
new	9.900161955609281
streaming	9.841390908061703
moore	9.705863295995725
movies	9.683942493768882
demi	9.635513924024858
watch	9.381628005376903
2024	8.481223495066862
sequel	7.346500627175668
film	7.332716973656059
scott	6.970931030924826
best	6.838209720434821
halloween	6.647588674328577
review	6.081607491150833
ridley	5.66798758062324
date	5.590091386838743
release	5.49728391861115
star	5.1377903867943235
hulu	5.056663991543155
