Word	TF-IDF Score
office	1.6463617102899752
box	1.6463617102899752
dance	1.0997944631251937
weekend	1.0997944631251937
stings	0.7873110230260153
past	0.6167435666103227
set	0.6167435666103227
milestone	0.5957382453213447
terrifier	0.5853525979343914
domestic	0.46929137842227164
projection	0.46929137842227164
misses	0.46929137842227164
overseas	0.4192035173289866
wild	0.4192035173289866
opening	0.4192035173289866
specialized	0.4192035173289866
thrive	0.4192035173289866
robot	0.4192035173289866
decent	0.4192035173289866
dances	0.4192035173289866
