Word	TF-IDF Score
moore	3.2893299057843404
demi	3.1797863706257887
premiere	1.47733725198839
paris	1.3397090645954266
naomi	1.1591476640918965
scott	1.1591476640918965
built	1.0960488240025685
criminals	1.0960488240025685
religious	1.0960488240025685
election	1.0960488240025685
fanatics	1.0960488240025685
america	1.0495890515011697
talks	1.0047507731206529
thing	0.8906868187780406
film	0.8474696411423748
chanel	0.8461945213560476
movie	0.8227193949056046
slams	0.8000396638491858
rob	0.7971104613486683
lowe	0.7971104613486683
